"","mgi_symbol","ensembl_gene_id"
"147","Plcg1","ENSMUSG00000016933"
"148","Cd300lg","ENSMUSG00000017309"
"149","Cacnb4","ENSMUSG00000017412"
"150","Tnfaip1","ENSMUSG00000017615"
"151","Cd40","ENSMUSG00000017652"
"152","Ada","ENSMUSG00000017697"
"153","Mmp9","ENSMUSG00000017737"
"154","Dhx58","ENSMUSG00000017830"
"155","Med1","ENSMUSG00000018160"
"156","Trove2","ENSMUSG00000018199"
"157","Stk4","ENSMUSG00000018209"
"158","Ncor1","ENSMUSG00000018501"
"159","Ikzf1","ENSMUSG00000018654"
"160","Mb","ENSMUSG00000018893"
"161","Irf1","ENSMUSG00000018899"
"162","Csf2","ENSMUSG00000018916"
"163","Cxcl16","ENSMUSG00000018920"
"164","Heatr9","ENSMUSG00000018925"
"165","Ccl6","ENSMUSG00000018927"
"166","Ccl4","ENSMUSG00000018930"
"167","Sart3","ENSMUSG00000018974"
"168","Ccl9","ENSMUSG00000019122"
"169","Rab4a","ENSMUSG00000019478"
"170","Lyst","ENSMUSG00000019726"
"171","Frk","ENSMUSG00000019779"
"172","Zbtb24","ENSMUSG00000019826"
"173","Rab32","ENSMUSG00000019832"
"174","Traf3ip2","ENSMUSG00000019842"
"175","Fyn","ENSMUSG00000019843"
"176","Tnfaip3","ENSMUSG00000019850"
"177","Kitl","ENSMUSG00000019966"
"178","Psen1","ENSMUSG00000019969"
"179","Enpp3","ENSMUSG00000019989"
"180","Sgpl1","ENSMUSG00000020097"
"181","Ddit4","ENSMUSG00000020108"
"182","Tbk1","ENSMUSG00000020115"
"183","Dock2","ENSMUSG00000020143"
"184","Meis1","ENSMUSG00000020160"
"185","Tcf3","ENSMUSG00000020167"
"186","Mknk2","ENSMUSG00000020190"
"187","Ap3d1","ENSMUSG00000020198"
"188","Rel","ENSMUSG00000020275"
"189","Fstl3","ENSMUSG00000020325"
"190","Tnip1","ENSMUSG00000020400"
"191","Myo1g","ENSMUSG00000020437"
"192","Patz1","ENSMUSG00000020453"
"193","Trim11","ENSMUSG00000020455"
"194","Polm","ENSMUSG00000020474"
"195","Dbnl","ENSMUSG00000020476"
"196","Pik3cg","ENSMUSG00000020573"
"197","Hs1bp3","ENSMUSG00000020605"
"198","Fkbp1b","ENSMUSG00000020635"
"199","Rsad2","ENSMUSG00000020641"
"200","Id2","ENSMUSG00000020644"
"201","Rab10","ENSMUSG00000020671"
"202","Ccl11","ENSMUSG00000020676"
"203","Ace","ENSMUSG00000020681"
"204","Rnf135","ENSMUSG00000020707"
"205","Pecam1","ENSMUSG00000020717"
"206","Nup85","ENSMUSG00000020739"
"207","Pafah1b1","ENSMUSG00000020745"
