"","mgi_symbol","ensembl_gene_id","ensembl_transcript_id"
"98","Tec","ENSMUSG00000029217","ENSMUST00000029217"
"99","Oasl2","ENSMUSG00000029561","ENSMUST00000029561"
"100","Irf5","ENSMUSG00000029771","ENSMUST00000029771"
"101","Herc6","ENSMUSG00000029798","ENSMUST00000029798"
"102","Zc3hav1","ENSMUSG00000029826","ENSMUST00000029826"
"103","Clec5a","ENSMUSG00000029915","ENSMUST00000029915"
"104","Clec4d","ENSMUSG00000030144","ENSMUST00000030144"
"105","Clec4a2","ENSMUSG00000030148","ENSMUST00000030148"
"106","Klrk1","ENSMUSG00000030149","ENSMUST00000030149"
"107","Pycard","ENSMUSG00000030793","ENSMUST00000030793"
"108","Polr3e","ENSMUSG00000030880","ENSMUST00000030880"
"109","Trim21","ENSMUSG00000030966","ENSMUST00000030966"
"110","Fadd","ENSMUSG00000031077","ENSMUST00000031077"
"111","Btk","ENSMUSG00000031264","ENSMUST00000031264"
"112","Irak1","ENSMUSG00000031392","ENSMUST00000031392"
"113","Tlr3","ENSMUSG00000031639","ENSMUST00000031639"
"114","Il34","ENSMUSG00000031750","ENSMUST00000031750"
"115","Nlrx1","ENSMUSG00000032109","ENSMUST00000032109"
"116","Tyk2","ENSMUSG00000032175","ENSMUST00000032175"
"117","Csk","ENSMUSG00000032312","ENSMUST00000032312"
"118","Mb21d1","ENSMUSG00000032344","ENSMUST00000032344"
"119","Myd88","ENSMUSG00000032508","ENSMUST00000032508"
"120","Mst1r","ENSMUSG00000032584","ENSMUST00000032584"
"121","Oas3","ENSMUSG00000032661","ENSMUST00000032661"
"122","Malt1","ENSMUSG00000032688","ENSMUST00000032688"
"123","Oas2","ENSMUSG00000032690","ENSMUST00000032690"
"124","Styk1","ENSMUSG00000032899","ENSMUST00000032899"
"125","Atg12","ENSMUSG00000032905","ENSMUST00000032905"
"126","Atg9a","ENSMUSG00000033124","ENSMUST00000033124"
"127","Mif","ENSMUSG00000033307","ENSMUST00000033307"
"128","Zbtb1","ENSMUSG00000033454","ENSMUST00000033454"
"129","Tlr13","ENSMUSG00000033777","ENSMUST00000033777"
"130","Trim59","ENSMUSG00000034317","ENSMUST00000034317"
"131","Polr3b","ENSMUSG00000034453","ENSMUST00000034453"
"132","Ifit1","ENSMUSG00000034459","ENSMUST00000034459"
"133","Cactin","ENSMUSG00000034889","ENSMUST00000034889"
"134","Trim13","ENSMUSG00000035235","ENSMUST00000035235"
"135","Ssc5d","ENSMUSG00000035279","ENSMUST00000035279"
"136","Polr3g","ENSMUSG00000035834","ENSMUST00000035834"
"137","C1qa","ENSMUSG00000036887","ENSMUST00000036887"
"138","C1qc","ENSMUSG00000036896","ENSMUST00000036896"
"139","C1qb","ENSMUSG00000036905","ENSMUST00000036905"
"140","Pml","ENSMUSG00000036986","ENSMUST00000036986"
"141","Spon2","ENSMUSG00000037379","ENSMUST00000037379"
"142","Vnn1","ENSMUSG00000037440","ENSMUST00000037440"
"143","Mavs","ENSMUSG00000037523","ENSMUST00000037523"
"144","Aim2","ENSMUSG00000037860","ENSMUST00000037860"
"145","Nod1","ENSMUSG00000038058","ENSMUST00000038058"
"146","Atg5","ENSMUSG00000038160","ENSMUST00000038160"
"147","Tbkbp1","ENSMUSG00000038517","ENSMUST00000038517"
"148","C1rl","ENSMUSG00000038527","ENSMUST00000038527"
"149","Polr3k","ENSMUSG00000038628","ENSMUST00000038628"
"150","Tlr4","ENSMUSG00000039005","ENSMUST00000039005"
"151","Nlrc4","ENSMUSG00000039193","ENSMUST00000039193"
"152","Isg20","ENSMUSG00000039236","ENSMUST00000039236"
"153","Trim14","ENSMUSG00000039853","ENSMUST00000039853"
"154","Pik3cd","ENSMUSG00000039936","ENSMUST00000039936"
"155","Ddx58","ENSMUSG00000040296","ENSMUST00000040296"
"156","Tlr8","ENSMUSG00000040522","ENSMUST00000040522"
"157","Trim62","ENSMUSG00000041000","ENSMUST00000041000"
"158","Ripk2","ENSMUSG00000041135","ENSMUST00000041135"
"159","Oasl1","ENSMUSG00000041827","ENSMUST00000041827"
"160","Lyn","ENSMUSG00000042228","ENSMUST00000042228"
"161","Tril","ENSMUSG00000043496","ENSMUST00000043496"
"162","Tlr7","ENSMUSG00000044583","ENSMUST00000044583"
"163","Il27","ENSMUSG00000044701","ENSMUST00000044701"
"164","Tlr1","ENSMUSG00000044827","ENSMUST00000044827"
"165","Tlr9","ENSMUSG00000045322","ENSMUST00000045322"
"166","Otulin","ENSMUSG00000046034","ENSMUST00000046034"
"167","Bst2","ENSMUSG00000046718","ENSMUST00000046718"
"168","Irgm1","ENSMUSG00000046879","ENSMUST00000046879"
"169","Ticam1","ENSMUSG00000047123","ENSMUST00000047123"
"170","Ifnb1","ENSMUSG00000048806","ENSMUST00000048806"
"171","Nlrp10","ENSMUSG00000049709","ENSMUST00000049709"
"172","Lgr4","ENSMUSG00000050199","ENSMUST00000050199"
"173","Cd14","ENSMUSG00000051439","ENSMUST00000051439"
"174","Tlr6","ENSMUSG00000051498","ENSMUST00000051498"
"175","Trim32","ENSMUSG00000051675","ENSMUST00000051675"
"176","Tlr11","ENSMUSG00000051969","ENSMUST00000051969"
"177","Nrros","ENSMUSG00000052384","ENSMUST00000052384"
"178","Oas1a","ENSMUSG00000052776","ENSMUST00000052776"
"179","Fes","ENSMUSG00000053158","ENSMUST00000053158"
"180","Krt16","ENSMUSG00000053797","ENSMUST00000053797"
"181","Iigp1","ENSMUSG00000054072","ENSMUST00000054072"
"182","C1ra","ENSMUSG00000055172","ENSMUST00000055172"
"183","Ankrd17","ENSMUSG00000055204","ENSMUST00000055204"
"184","Nod2","ENSMUSG00000055994","ENSMUST00000055994"
"185","S100a8","ENSMUSG00000056054","ENSMUST00000056054"
"186","S100a9","ENSMUSG00000056071","ENSMUST00000056071"
"187","Ticam2","ENSMUSG00000056130","ENSMUST00000056130"
"188","Ptk2b","ENSMUSG00000059456","ENSMUST00000059456"
"189","Irak4","ENSMUSG00000059883","ENSMUST00000059883"
"190","Tlr12","ENSMUSG00000062545","ENSMUST00000062545"
"191","Ifna13","ENSMUSG00000063376","ENSMUST00000063376"
"192","Ipo7","ENSMUSG00000066232","ENSMUST00000066232"
"193","Sp110","ENSMUSG00000070034","ENSMUST00000070034"
"194","Ifna4","ENSMUSG00000070904","ENSMUST00000070904"
"195","Il1rl2","ENSMUSG00000070942","ENSMUST00000070942"
